n,algorithm,cpu_seconds,wall_seconds,sorted,comparisons,swaps
1000,Bubble Sort,0.000426,0.000424,1,0,0
2000,Bubble Sort,0.001905,0.001894,1,0,0
4000,Bubble Sort,0.007853,0.007807,1,0,0
8000,Bubble Sort,0.031682,0.031517,1,0,0
18250,Bubble Sort,0.175453,0.174504,1,0,0
32000,Bubble Sort,0.610038,0.606400,1,0,0
64000,Bubble Sort,2.969593,2.950611,1,0,0
128000,Bubble Sort,13.415637,13.437407,1,0,0
256000,Bubble Sort,57.378920,57.313804,1,0,0
1000000,Bubble Sort,871.673176,871.760620,1,0,0
1000,Quick Sort,0.000017,0.000017,1,0,0
2000,Quick Sort,0.000061,0.000061,1,0,0
4000,Quick Sort,0.000169,0.000168,1,0,0
8000,Quick Sort,0.000359,0.000356,1,0,0
18250,Quick Sort,0.000940,0.000932,1,0,0
32000,Quick Sort,0.001714,0.001701,1,0,0
64000,Quick Sort,0.003525,0.003499,1,0,0
128000,Quick Sort,0.007256,0.007202,1,0,0
256000,Quick Sort,0.015278,0.015157,1,0,0
500000,Quick Sort,0.029562,0.029352,1,0,0
1000000,Quick Sort,0.070644,0.070114,1,0,0
2000000,Quick Sort,0.155289,0.154128,1,0,0
4000000,Quick Sort,0.343667,0.352225,1,0,0
8000000,Quick Sort,0.873738,0.879219,1,0,0
